part,job,operation,machine,event,time,queue_length,queue_ops,run_meta,delay
P36,J36,O363,M5,queued,344.1,3.0,"O372,O093,O363","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P15,J15,O153,M6,queued,349.1,5.0,"O233,O123,O043,O403,O153","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P22,J22,O221,M1,end,350.0,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P19,J19,O192,M1,start,350.0,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P2,J2,O022,M7,end,354.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P5,J5,O053,M7,start,354.1,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P22,J22,O222,M1->M7,delivery,356.0,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",7.0
P7,J7,O073,M4,end,359.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P7,J7,,,done,359.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P3,J3,O033,M4,start,359.1,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P38,J38,O383,M6,end,361.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P38,J38,,,done,361.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P23,J23,O233,M6,start,361.1,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P2,J2,O023,M7,queued,361.1,4.0,"O283,O273,O212,O023","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P22,J22,O222,M7,queued,364.0,5.0,"O283,O273,O212,O023,O222","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P1,J1,O012,M2,end,364.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P29,J29,O293,M2,start,364.1,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P16,J16,O163,M8,end,365.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P35,J35,O352,M8,start,365.1,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P16,J16,O164,M8->M4,delivery,371.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",9.0
P1,J1,O013,M2->M8,delivery,372.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",6.0
P32,J32,O322,M5,end,375.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P37,J37,O372,M5,start,375.1,2.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P1,J1,O013,M8,queued,379.1,4.0,"O333,O313,O173,O013","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P19,J19,O192,M1,end,381.0,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P13,J13,O133,M1,start,381.0,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P16,J16,O164,M4,queued,381.1,4.0,"O112,O243,O103,O164","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P32,J32,O323,M5,queued,381.1,3.0,"O093,O363,O323","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P3,J3,O033,M4,end,385.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P5,J5,O053,M7,end,385.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P5,J5,,,done,385.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P11,J11,O112,M4,start,385.1,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P28,J28,O283,M7,start,385.1,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P19,J19,O193,M1->M5,delivery,388.0,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",6.0
P23,J23,O233,M6,end,391.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P23,J23,,,done,391.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
